Japanese_name,Romanized_name,English_name,Debut,Affiliations,Occupations
Babanuki,"['Chapter 934', 'Episode 930']","['Beasts Pirates', 'Tama']","['Shinuchi', 'Warden of the Prisoner Mine']"
Babe,"['Chapter 160', 'Episode 103']","['New Spiders Cafe', 'Baroque Works (former)']","['Cafe Delivery Boy', 'Officer Agent (former)']"
Baby 5,"['Chapter 682', 'Episode 608']","['Happo Navy', 'Chinjao Family', 'Straw Hat Grand Fleet', 'Donquixote Pirates (defected)']","['Pirate', 'Pirate Officer (former)', 'Servant (former)', 'Assassin (former)']"
"Bacura (Viz, FUNimation),Bakula (FUNimation subtitles)","['Chapter 516', 'Episode 410']",Kuja,"['Pet', 'Executioner']"
Bazeko,"['Chapter 668', 'Episode 594']","['Marines', 'G-5']",Alive
Bunchi (Viz)Bunch (WT100),"['Chapter 114', 'Episode 67']",Baroque Works,Transportation
Bankina,"['Chapter 41', 'Episode 17']",East Blue (Syrup Village),Deceased
Banzaburo,"['Chapter 960', 'Episode 960']",Kozuki Family,"['Retainer of the Kozuki Family', 'Food taster']"
"Gyoro, Nin, Bao","['Chapter 449', 'Episode 343']",Thriller Bark Pirates,Soldier Zombies
Bao Huang,"['Chapter 979', 'Episode 985']",Beasts Pirates,"['Shinuchi', 'Mary', 'Scheduler']"
Bariete,"['Chapter 804', 'Episode 753']","['Mokomo Dukedom (Recon Squad)', 'Ninja-Pirate-Mink-Samurai Alliance']","['Recon Squad', 'Guard']"
"['Kicking Claw Force', 'Elite Alabastian Royal Guards']","['Chapter 196', 'Episode 120']",Arabasta Kingdom,Guards
Bartholomew Kuma,"['Chapter 233', 'Episode 151']","['Seven Warlords of the Sea (former)', 'Revolutionary Army', 'Sorbet Kingdom (former)']","['Pirate', 'Slave (former)', 'Warlord of the Sea (former)', 'Revolutionary Officer (former)', 'King of Sorbet Kingdom (former)']"
Bartolomeo,"['Chapter 705', 'Episode 633']","['Barto Club', 'his own Mafia Family (former)', 'Straw Hat Grand Fleet']","['Captain of the Second Ship of the Straw Hat Grand Fleet', 'Pirate Captain', 'Mafia Leader (former)']"
Baskerville,"['Chapter 379', 'Episode 267']",World Government (Enies Lobby),Chief Justices of Enies Lobby
Basil Hawkins,"['Chapter 498', 'Episode 392']","['Hawkins Pirates', 'Beasts Pirates']","['Pirate', 'Captain', 'Shinuchi']"
Basilisk,"['Chapter 528', 'Episode 425']","World Government, Impel Down",Level 2 Guardian
Bastille,"['Chapter 553', 'Episode 462']",Marines,Vice Admiral
Bat-Man,"['Chapter 914', 'Episode 900']",Beasts Pirates,Gifter
Baxcon,"['Chapter 718', 'Episode 648']","['Tontatta Kingdom Scouting Unit', 'Tontatta Pirates', 'Straw Hat Grand Fleet']","['Scout', 'Pirate']"
Beer VI,"['Chapter 823', 'Episode 777']",King of the Roshwan Kingdom,Roshwan Kingdom
Belo Betty,"['Chapter 904', 'Episode 880']",Revolutionary Army (East Army),East Army Commander of the Revolutionary Army
Belladonna,"['Chapter 514', 'Episode 408']",Kuja,Doctor
Bellamy,"['Chapter 222', 'Episode 146']","['Donquixote Pirates (former)', 'Bellamy Pirates (former)']","['Dyer', 'Pirate (former)', 'Captain (former)']"
Beret,"['Chapter 537', 'Episode 439']",Unnamed kingdom (former),"['Pirate', 'Prince (former)']"
"['Belle-Mère (VIZ Media)', 'Bellemere (Funimation)']","['Chapter 77', 'Episode 32']",Marines (former),"['Mikan Farmer', 'Marine Officer (former)']"
"['Benn Beckman', 'Ben Beckman (VIZ, formerly)']","['Chapter 1', 'Episode 4']",Red Hair Pirates,"['Pirate', 'First Mate']"
Bentham,"['Chapter 129', 'Episode 78']","['Newkama Land', 'Baroque Works (former)']","['Queen of Newkama Land', 'Officer Agent (former)', 'Prisoner of the Great Prison']"
Bepo,"['Chapter 498', 'Episode 392']",Heart Pirates,"['Pirate', 'Navigator', ""Guardians' helper""]"
Bian,"['Chapter 717', 'Episode 647']","['Tontatta Kingdom', 'Tontatta Pirates', 'Straw Hat Grand Fleet']","['Leader of Pink Bee Squad', 'Pirate']"
"['Big Bun (Viz)', 'Big Pan (FUNimation)']","['Chapter 309', 'Episode 210']","['Foxy Pirates', 'Groggy Monsters']","['Pirate', 'Combatant']"
Bingoh,"['Chapter 928', 'Episode 921']","['Priest (former)', 'Cooper (former)', 'Graverobber (former)']",Wano Country (Ebisu Town)
Bishamon,"['Chapter 931', 'Episode 925']","['Beasts Pirates', 'Orochi Oniwabanshu (former)', 'Kurozumi Family (former)']","['Ninja', 'Pirate']"
Bizarre,"['Chapter 553', 'Episode 468']",Subordinate of the Whitebeard Pirates,"['Pirate', 'Captain']"
Black Maria,"['Chapter 977', 'Episode 982']",Beasts Pirates (Tobiroppo),"['Shinuchi', 'Brothel owner']"
BB (Blackback),"['Chapter 805', 'Episode 754']","['Mokomo Dukedom', 'Guardians', '']",Guardian
Blamenco,"['Chapter 553', 'Episode 461']",Whitebeard Pirates,"['6th Division Commander', 'Pirate']"
Blenheim,"['Chapter 553', 'Episode 461']",Whitebeard Pirates,"['9th Division Commander', 'Pirate']"
Blondie,"['Chapter 558', 'Episode 468']",Subordinate of the Whitebeard Pirates,"['Pirate', 'Captain']"
Bluefan,"['Chapter 516', 'Episode 410']","['Kuja', 'Kuja Pirates']",Pirate
"['Blue Gilly (Viz)', 'Bluegilly (WT100)']","['Chapter 706', 'Episode 636']","['Ideo Pirates', 'Straw Hat Grand Fleet']","Martial Artist, Pirate"
Bluejam,"['Chapter 584', 'Episode 494']",Bluejam Pirates,"['Pirate', 'Captain']"
Blueno,"['Chapter 325', 'Episode 230']","['CP0', 'CP9 (former)']","['Cipher Pol Agent', 'Bartender (undercover)']"
Boa Hancock,"['Chapter 516', 'Episode 409']","['Kuja', 'Kuja Pirates', 'Seven Warlords of the Sea (former)', 'Slavery (former)']","['Pirate Captain', 'Empress of Amazon Lily', 'Warlord of the Sea (former)', 'Slave (former)']"
Boa Marigold,"['Chapter 516', 'Episode 409']","['Kuja', 'Kuja Pirates']","['Pirate', 'Ruler of Amazon Lily', 'Slave (Former)']"
Boa Sandersonia,"['Chapter 516', 'Episode 409']","['Kuja', 'Kuja Pirates']","['Pirate', 'Ruler of Amazon Lily', 'Slave (Former)']"
Bobbin,"['Chapter 651', 'Episode 571']",Big Mom Pirates,Combatant
Bobby Funk,"['Chapter 704', 'Episode 632']",Mogaro Kingdom,Assassin
Bobomba,"['Chapter 711', 'Episode 641']","['Tontatta Kingdom', 'Tonta Corps', 'Straw Hat Grand Fleet']",Pirate
Bomba,"['Chapter 711', 'Episode 641']","['Tontatta Kingdom', 'Tontatta Pirates', 'Straw Hat Grand Fleet']","['Vice Chief (副長, Fukuchō?)', 'Pirate']"
Bongoh,"['Chapter 928', 'Episode 921']","['Lumber Dealer (former)', 'Graverobber (former)']",Wano Country (Ebisu Town)
Bonk Punch,"['Chapter 1', 'Episode 4']",Red Hair Pirates,"['Pirate', 'Senior Officer', 'Musician']"
Boo,"['Chapter 704', 'Episode 632']","['Happo Navy', 'Chinjao Family', 'Straw Hat Grand Fleet']","['First Mate of the Happo Navy', 'Martial Artist (Viz: Fighter)']"
Boodle,"['Chapter 12', 'Episode 6']",Orange Town,Mayor
Borsalino,"['Chapter 504', 'Episode 398']",Marines,"['Admiral', 'Vice Admiral (former)']"
Braham,"['Chapter 249', 'Episode 163']","['Shandia', ""God's Guards""]","['Shandia Warrior', ""God's Guard""]"
"['Kicking Claw Force', 'Elite Alabastian Royal Guards']","['Chapter 196', 'Episode 120']",Arabasta Kingdom,Guards
"['Brandnew (FUNimation and Crunchyroll Simulcast', 'Formerly Viz)', 'Brannew (Current Viz Manga)']","['Chapter 96', 'Episode 45']",Marines,"['Commodore', 'Lieutenant Commander (former)']"
Brew,"['Chapter 561', 'Episode 470']",Whitebeard Pirates,"['Pirate', 'Captain']"
Briscola,"['Chapter 993', 'Episode 982']",Beasts Pirates,Shinuchi
Brocca,"['Chapter 561', 'Episode 470']",Whitebeard Pirates,"['Pirate', 'Captain']"
"['Broggy', 'Brogy (Odex)']","['Chapter 115', 'Episode 71']",Giant Warrior Pirates,Pirate Captain
Brook,"['Chapter 442', 'Episode 337']","['Straw Hat Pirates', 'Straw Hat Grand Fleet', 'Rumbar Pirates (former)', 'Ninja-Pirate-Mink-Samurai Alliance (disbanded)']","['Pirate', 'Musician', 'Swordsman', 'Senior Officer', 'Captain (former)', 'Battle Convoy leader (former)', 'World-Famous Rock Star (former)']"
Bubblegum,"['Chapter 1029', 'Episode 1054']",Kid Pirates,Pirate
Bouche,"Chapter 880, Episode 852","['WCI 31', 'Big Mom Pirates']",Head Chef
Butchie,"['Chapter 31', 'Episode 13']",Black Cat Pirates,"Pirate Officer, Ship Guard"
Buckingham Stussy,"['Chapter 802', 'Episode 752']","['Rocks Pirates (former)', 'MADS (former)']","['Pirate (former)', 'Scientist (former, self proclaimed)']"
Buffalo,"['Chapter 692', 'Episode 618']",Donquixote Pirates,"['Pirate Officer', 'Assassin']"
Buggy,"['Chapter 9', 'Episode 4']","['Cross Guild', ""Buggy's Delivery"", '? Buggy Pirates', 'Buggy and Alvida Alliance', 'Four Emperors', 'Seven Warlords of the Sea', '(former)', 'Roger Pirates', '(former)', 'Impel Down (former)']","['Pirate Captain', 'Emperor', 'Figurehead President of Cross Guild', ""Chairman of Buggy's Delivery"", '(former)', 'Warlord of the Sea', '(former)', 'Apprentice', '(former)', 'Prisoner of the Great Prison (former)']"
Oinkchuck,"Chapter 446, Episode 340",Thriller Bark Pirates,Surprise Zombie Boss
Building Snake,"['Chapter 41 (cover)', 'Episode 4']",Red Hair Pirates,"['Pirate', 'Senior Officer', 'Navigator']"
Bunbuku,"Chapter 911, Episode 894","Amigasa Village, Wano Country",Alive
Bungoh,"['Chapter 928', 'Episode 921']","['Arsonist', 'Graverobber (former)']",Wano Country (Ebisu Town)
Bunny Joe,"['Chapter 546 (cover)', 'Episode 455']",Revolutionary Army,Revolutionary
Bushon,"['Chapter 361', 'Episode 251']",Station Manager,Alive
Busshiri,"['Chapter 391', 'Episode 275']",Ohara Archaeologists,Archaeologist
Byron,"['Chapter 501', 'Episode 395']","['Musician', 'Pirate', 'Slave']",Alive
Cabaji,"['Chapter 9', 'Episode 7']","['Cross Guild', 'Buggy and Alvida Alliance, Buggy Pirates']","['Pirate', 'Chief of Staff', 'Acrobat', 'Swordsman']"
Caesar Clown,"['Chapter 658', 'Episode 581']","['Germa Kingdom', 'NEO MADS', 'Fire Tank Pirates (former)', 'Donquixote Pirates (former)', 'Marines and World Government (former)', 'MADS (former)']",Scientist
Caiman Lady,"['Chapter 1004', 'Episode 1020']",Beasts Pirates,"['Gifter', 'Mary']"
Camie,"['Chapter 195 (cover)', 'Episode 385']","Takoyaki 8, Mermaid Cafe",Fashion designing apprenticeTakoyaki sellerWaitress at Mermaid Cafe
Cancer,"['Chapter 96', 'Episode 151']",Marines,Vice Admiral
Kandre,"['Chapter 557', 'Episode 466', 'One Piece Film: Z']",Marines,Marine Officer
Capone Bege,"['Chapter 498', 'Episode 392']","['Fire Tank Pirates', 'Big Mom Pirates (former)']","['Pirate', 'Captain', 'Mafia don (former)', 'Combatant (former)']"
Capone Pez,"['Chapter 834', 'Episode 795']","['Fire Tank Pirates', 'Charlotte Family']","""Gang"" (ギャング, Gyangu?)"
Capote,"['Chapter 306', 'Episode 209']",Foxy Pirates,"['Pirate', 'Combatant']"
Caribou,"['Chapter 600', 'Episode 519']","['Caribou Pirates', 'Fake Straw Hat Crew (former, temporary)']","['Pirate', 'Captain', 'Kidnapper']"
Carmel,"['Chapter 861', 'Episode 831']","['Underworld', ""Sheep's House""]","['Child Trafficker', ""Caretaker of Sheep's House""]"
Carne,"['Chapter 45', 'Episode 21']",Baratie,Charcutier
Carrot,"['Chapter 804', 'Episode 753']","['Mokomo Dukedom, Inuarashi Musketeer Squad (former)', 'Ninja-Pirate-Mink-Samurai Alliance (disbanded)']","['Ruler of the Mokomo Dukedom', 'Musketeer (former)', 'Kingsbird (former)']"
Catacombo,"['Chapter 602', 'Episode 522']",Marines,Rear Admiral
"Catarina Devon, Catalina Devon","['Chapter 575', 'Episode 484']","['Blackbeard Pirates', 'Impel Down (former)']","['Pirate', 'Prisoner of the Great Prison (former)']"
Cavendish,"['Chapter 704', 'Episode 632']","['Beautiful Pirates', 'Straw Hat Grand Fleet', 'Bourgeois Kingdom']","['Captain of the First Ship of the Straw Hat Grand Fleet', 'Captain', 'Prince of the Bourgeois Kingdom (former)']"
Cerberus,"['Chapter 444', 'Episode 339']",Thriller Bark Pirates,Wild Zombie
Chabo,"['Chapter 69', 'Episode 31']",Nojiko's tangerine farm,Laborer
Browndros Beardriguez,"['Chapter 581', 'Episode 490']","['Caesar Clown (defected), Centaur Patrol Unit (defected)', 'Brownbeard Pirates (disbanded)']","['Leader of the Centaur Patrol Unit (former)', 'Pirate', 'Captain  (former)']"
Chaka,"['Chapter 155', 'Episode 91']",Arabasta Kingdom,Commander of Royal Guards
Chao,"['Chapter 738', 'Episode 671']","['Tontatta Kingdom', 'SMILE Factory (former)Straw Hat Grand Fleet']","['Factory worker (former)', 'Pirate']"
Chappe,"['Chapter 668', 'Episode 593']",Caesar Clown,"""Rope-Tugging"" Chappe (縄引きのチャッペ, Nawahiki no Chappe?)"
"['Saint Charlos (Viz)', 'Saint Charloss (FUNimation)']","['Chapter 499', 'Episode 393']",World Government,World Noble
Decuplets,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']","['Pirates', 'Officers']"
Decuplets,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']","['Pirates', 'Officers']"
Charlotte Amande,"['Chapter 827', 'Episode 786']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Nuts']"
Charlotte Anana,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']",Alive
Charlotte Angel,"['Chapter 860', 'Episode 830']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Anglaise,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']",Alive
Charlotte Basans,"['Chapter 862', 'Episode 832']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
"['Charlotte Bassquarte (Viz)', 'Charlotte Basskarte (WT100)']","['Chapter 860', 'Episode 830']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Bavarois,"['Chapter 888', 'Episode 861']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Brownie,"['Chapter 894', 'Episode 869']","['Charlotte Family', 'Big Mom Pirates']",Officer
Charlotte Broye,"['Chapter 864', 'Episode 832']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Meringue']"
Charlotte Brulee,"['Chapter 831', 'Episode 791']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Cabaletta,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Cadenza,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Chiboust,"['Chapter 894', 'Episode 869']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Mix']"
Charlotte Chiffon,"['Chapter 825', 'Episode 783']","['Fire Tank Pirates', 'Charlotte Family (defected)']","['Cook', 'Minister of Puff (former)']"
Charlotte Cinnamon,"['Chapter 860', 'Episode 830']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Citron,"['Chapter 861', 'Episode 833']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Eggs']"
Charlotte Compo,"['Chapter 864', 'Episode 834']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Pie']"
Charlotte Compote,"['Chapter 860', 'Episode 830']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Fruits']"
Charlotte Cornstarch,"['Chapter 865', 'Episode 841']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Love']"
Charlotte Counter,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Cracker,"['Chapter 835', 'Episode 796']","['Charlotte Family', 'Big Mom Pirates']","['Sweet Commander', 'Minister of Biscuit']"
Charlotte Custard,"['Chapter 862', 'Episode 831 (fantasy), Episode 832']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Dacquoise,"['Chapter 854', 'Episode 822']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Jam']"
Charlotte Daifuku,"['Chapter 861', 'Episode 826']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Beans']"
"['Charlotte Dolce and Dragée (Viz)', 'Charlotte Dolce and Dragee (WT100)']","['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']",Alive
Charlotte Dosmarche,"['Chapter 861', 'Episode 832']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Tea']"
"['Charlotte Dolce and Dragée (Viz)', 'Charlotte Dolce and Dragee (WT100)']","['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']",Alive
"['Charlotte Effiler (Viz)', 'Charlotte Effilee (WT100)']","['Chapter 864', 'Episode 831 (fantasy), Episode 834']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Flampe,"['Chapter 891', 'Episode 865']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Honey', 'Special Attack Unit Captain', 'Katakuri Fan Club President']"
Decuplets,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']","['Pirates', 'Officers']"
Charlotte Gala,SBS Volume 85 (Mentioned),Charlotte Family,Alive
Charlotte Galette,"['Chapter 829', 'Episode 789']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Butter']"
Charlotte Hachee,Chapter 871,"['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Decuplets,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']","['Pirates', 'Officers']"
Charlotte High-Fat,"['Chapter 862', 'Episode 832']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Joconde,"['Chapter 894', 'Episode 869']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Joscarpone,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Kanten,"['Chapter 862', 'Episode 839']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Agar']"
Charlotte Katakuri,"['Chapter 860', 'Episode 825']","['Charlotte Family', 'Big Mom Pirates']","['Sweet Commander', 'Minister of Flour']"
"['Kato (Funimation subs)', 'Fructose (VIZ)', 'Charlotte Kato (WT100)']","['Chapter 854', 'Episode 822']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Seeds']"
Charlotte Laurin,"['Chapter 864', 'Episode 834']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Linlin,"['Chapter 651', 'Episode 571']","['Big Mom Pirates', 'Rocks Pirates (former)', 'Four Emperors (former)', 'Charlotte Family']","['Pirate', 'Captain', 'Emperor (former)', 'Queen of Totto Land']"
Charlotte Lola,"['Chapter 476', 'Episode 370']","['Rolling Pirates', 'Charlotte Family', ""Thriller Bark Victim's Association (former)""]","['Pirate', 'Captain', 'Minister of Chocolate (former)']"
Charlotte Maple,Chapter 897,"['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Marble,"['Chapter 894', 'Episode 869']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Marnier,"['Chapter 861', 'Episode 834']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Yeast']"
Charlotte Mascarpone,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Tableware']"
Charlotte Mash,"['Chapter 865', 'Episode 831 (fantasy), Episode 834']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Melise,Chapter 854,"['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Mobile,"['Chapter 862', 'Episode 832']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Tasting']"
"['Charlotte Monder (Viz)', 'Charlotte Mondee (WT100)']","['Chapter 854', 'Episode 822']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Montd'Or (Viz)Charlotte Mont-d'Or (WT100),"['Chapter 829', 'Episode 789']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Cheese']"
Charlotte Montb,"Chapter 897, Episode 873","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Moscato,"['Chapter 829', 'Episode 788']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Gelato']"
Charlotte Mozart,"['Chapter 862', 'Episode 831 (fantasy), Episode 832']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Myukuru,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Decuplets,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']","['Pirates', 'Officers']"
Decuplets,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']","['Pirates', 'Officers']"
Decuplets,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']","['Pirates', 'Officers']"
Decuplets,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']","['Pirates', 'Officers']"
Decuplets,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']","['Pirates', 'Officers']"
Charlotte Noisette,"['Chapter 862', 'Episode 832']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Finance']"
Charlotte Nougat,"['Chapter 894', 'Episode 869']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Nusstorte,"['Chapter 854', 'Episode 822']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Transport']"
Decuplets,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']","['Pirates', 'Officers']"
Charlotte Opera,"['Chapter 829', 'Episode 789']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Whipped Cream']"
Charlotte Oven,"['Chapter 861', 'Episode 827']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Browned Food']"
Charlotte Panna,Chapter 897,"['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
"['Charlotte Perospero (Viz)', 'Charlotte Perosperaw (WT100)']","['Chapter 834', 'Episode 795']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Minister of Candy']"
Charlotte Poire,"['Chapter 860', 'Episode 830']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Praline,"['Chapter 830', 'Episode 790']","['Sun Pirates', 'Charlotte Family (defected)']","['Minister of Design (former)', 'Pirate']"
Charlotte Prim,"Chapter 896, Episode 871","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
Charlotte Pudding,"['Chapter 651', 'Episode 571']","['Charlotte Family', 'Big Mom Pirates']","['Pirate Officer', 'Chocolatier', 'Cafe Owner']"
Charlotte Raisin,"['Chapter 845', 'Episode 809']","['Charlotte Family', 'Big Mom Pirates']",Pirate Officer
